artist,song,year
Faith Hill,Breathe,2000
Santana & The Product G,Maria Maria,2000
Joe Thomas,I Wanna Know,2000
Aaliyah,Try Again,2000
Toni Braxton,He Wasn't Man Enough,2000
Rob Thomas & Santana,Smooth,2000
Vertical Horizon,Everything You Want,2000
Destiny's Child,Say My Name,2000
Lonestar,Amazed,2000
Matchbox Twenty,Bent,2000
Madonna,Music,2000
Sisqo,Thong Song,2000
Three Doors Down,Kryptonite,2000
Destiny's Child,Jumpin' Jumpin',2000
Creed,Higher,2000
Pink,There You Go,2000
Sonique,It Feels So Good,2000
Marc Anthony,You Sang To Me,2000
Macy Gray,I Try,2000
N Sync,"Bye, Bye, Bye",2000
Janet Jackson,Doesn't Really Matter,2000
Nelly,(Hot S**t) Country Grammar,2000
Creed,With Arms Wide Open,2000
Savage Garden,I Knew I Loved You,2000
N Sync,It's Gonna Be Me,2000
Christina Aguilera,What A Girl Wants,2000
Montell Jordan,Get It On Tonite,2000
The Backstreet Boys,Show Me The Meaning Of Being Lonely,2000
Sisqo,Incomplete,2000
Eminem,The Real Slim Shady,2000
Sting & Cheb Mami,Desert Rose,2000
Britney Spears,Oops!... I Did It Again,2000
Christina Aguilera,Come On Over Baby (All I Want Is You),2000
Enrique Iglesias,Be With You,2000
Celine Dion,That's The Way It Is,2000
Faith Hill,The Way You Love Me,2000
Ruff Endz,No More,2000
BBMak,Back Here,2000
Nine Days,Absolutely (Story Of A Girl),2000
Bon Jovi,It's My Life,2000
Marc Anthony,I Need To Know,2000
Pink,Most Girls,2000
blink-182,All The Small Things,2000
Destiny's Child,Independent Woman,2000
Brian McKnight,Back At One,2000
Christina Aguilera,I Turn To You,2000
Samantha Mumba,Gotta Tell You,2000
Mya,Case Of The Ex (Whatcha Gonna Do),2000
Mariah Carey,Thank God I Found You,2000
Mary Mary,Shackles (Praise You),2000
LeAnn Rimes,I Need You,2000
Blaque,Bring It All To Me,2000
Next,Wifey,2000
Jagged Edge,Let's Get Married,2000
Third Eye Blind,Never Let You Go,2000
"Missy 'Misdemeanor' Elliott, NAS & Eve",Hot Boyz,2000
Eiffel 65,Blue (Da Ba Dee),2000
Red Hot Chili Peppers,Otherside,2000
Kandi,Don't Think I'm Not,2000
98 Degrees,Give Me Just One Night,2000
Everclear,Wonderful,2000
Madonna,American Pie,2000
Dr Dre & Snoop Dogg,The Next Episode,2000
"Dr Dre, Eminem & Skylar Grey",Forgot About Dre,2000
Mystikal,Shake Ya Ass,2000
SoulDecision & Thrust,Faded,2000
